"tags","createdAt","nameWithOwner","stargazerCount","description","repositoryTopics_list","primaryLanguage","languages_list","diskUsage","relatedTopics_list"
"[""kit"",""webxr"",""reality"",""n"",""u"",""l"",""l""]","2020-03-05T15:33:07Z","boehm-e/webxr_threejs_AR",12,"Starter kit  webxr & Three.JS for Augmented reality","null","JavaScript","[""JavaScript"",""CSS"",""HTML""]",9684,"null"
"[""augmented"",""reality"",""navigation"",""app"",""data"",""n"",""u"",""l"",""l""]","2017-05-23T06:54:46Z","bonoj/ThirdEye",10,"Android - An augmented reality navigation and exploration app fusing accelerometer and magnetometer data with Google's Places and Location APIs.","null","Java","[""Java""]",2456,"null"
"[""n"",""u"",""l"",""l""]","2020-04-28T23:26:01Z","brandfiltr/cubeoftruth",3,"Cube Of Truth Instagram & Facebook Augmented Reality Filter ","null","null","null",10297,"null"
"[""webgl"",""hololens"",""mixed-reality""]","2017-11-29T17:48:38Z","brean/geometry_position_Unity3D_WebGL",5,"Create and move cubes in WebGL and see them moving in Mixed Reality (using Meteor)","[""webgl"",""hololens"",""mixed-reality""]","C#","[""CSS"",""HTML"",""JavaScript"",""C#"",""ShaderLab"",""HLSL""]",8110,"[""opengl"",""graphics"",""3d"",""vulkan"",""javascript"",""typescript"",""emacs"",""nodejs"",""deno"",""kafka"",""spark"",""java"",""scala"",""big-data""]"
"[""augmented"",""reality"",""application"",""live"",""tracking"",""real"",""multiplayer"",""n"",""u"",""l"",""l""]","2018-04-06T22:39:15Z","brennyD/multiplA.R.",3,"Shared augmented reality application with live user tracking and synchronization in real space, making multiplayer AR feasible","null","Swift","[""Swift""]",3505,"null"
"[""game"",""arkit"",""swift"",""scenekit"",""ios11"",""shooter"",""shooter-game"",""fps"",""apple"",""demo"",""ios""]","2017-07-12T05:29:29Z","brentinator0/ARTargetShooter",31,"Augmented Reality shooting game using Apple's ARKit + SceneKit Frameworks in Swift","[""arkit"",""swift"",""scenekit"",""ios11"",""shooter"",""shooter-game"",""fps"",""apple"",""demo"",""ios""]","Swift","[""Swift""]",77294,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""language"",""objective-c"",""ios"",""cocoapods"",""xcode"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""game"",""unity"",""unity3d"",""game-development"",""gamedev"",""aws"",""serverless"",""aws-lambda"",""lambda"",""terraform"",""game"",""unity"",""unity3d"",""game-development"",""gamedev"",""linux"",""macos"",""windows"",""osx"",""mac"",""hacktoberfest"",""clojure"",""cms"",""library"",""api"",""swift"",""objective-c"",""cocoapods"",""xcode""]"
"[""n"",""u"",""l"",""l""]","2017-12-04T17:47:40Z","brianadvent/3DEarthAugementedReality",4,"Learn how to create a 3D Earth in Augmented Reality with ARKit and SceneKit","null","Swift","[""Swift""]",719,"null"
"[""detection"",""n"",""u"",""l"",""l""]","2017-12-05T14:34:03Z","brianadvent/3DEarthBeyondTheBasics",3,"Learn Augmented Reality with ARKit: Surface detection and light estimation","null","Swift","[""Swift""]",719,"null"
"[""arkit"",""augmented-reality"",""ios11"",""swift""]","2017-06-23T12:14:53Z","brianadvent/Simple-ARKit-Game",12,"null","[""arkit"",""augmented-reality"",""ios11"",""swift""]","Swift","[""Swift""]",426,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""language"",""objective-c"",""ios"",""cocoapods"",""xcode""]"
"[""n"",""u"",""l"",""l""]","2018-05-25T21:47:38Z","brianpvo/BeerGamesAR",4,"Beer Pong App with Augmented Reality - Lighthouse Labs (Final Project)","null","Swift","[""Swift"",""Ruby""]",201610,"null"
"[""speech"",""n"",""u"",""l"",""l""]","2018-09-13T18:34:44Z","brufino/interpretAR",3,"Android Augmented Reality (AR) Application converting speech to sign language:","null","C#","[""Java"",""C#"",""ShaderLab"",""HLSL"",""Objective-C"",""CSS""]",836665,"null"
"[""situated-visualization"",""augmented-reality""]","2019-05-09T08:37:58Z","bsotomayor92/AVAR-unity",3,"AVAR: Agile Visualizations in Immersive Augmented Reality","[""situated-visualization"",""augmented-reality""]","C#","[""C#"",""Smalltalk"",""ShaderLab"",""HLSL"",""Objective-C"",""SCSS""]",77667,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode""]"
"[""project"",""server"",""template"",""augmented"",""reality"",""scene"",""n"",""u"",""l"",""l""]","2017-01-29T15:09:46Z","c-goettert/OSG-OpenCV-ARDemo",8,"Very basic project which might server as a template for augmented reality Scenes using OpenSceneGraph for 3D Visualisation and OpenCV to grab Webcam-frames for the scene background","null","C++","[""CMake"",""C++""]",107,"null"
"[""visualization"",""n"",""u"",""l"",""l""]","2018-01-15T02:37:08Z","c-marinos/Sapphire",4,"Chemical visualization for the Microsoft HoloLens.","null","C#","[""C#"",""ShaderLab"",""HLSL"",""Smalltalk"",""Objective-C"",""Objective-C++"",""CSS""]",229425,"null"
"[""app"",""n"",""u"",""l"",""l""]","2018-11-19T02:11:25Z","carlosjimz87/Virtual-Fitting-Room",4,"Virtual Fitting Room app lets you try garments using Augmented Reality. ","null","Java","[""Java""]",5804,"null"
"[""applications"",""golang"",""websockets"",""augmented-reality"",""networking"",""framework"",""gorilla-websocket"",""gorilla"",""mixed-reality""]","2017-09-19T19:20:42Z","carrot-ar/carrot",33,"🥕 Build multi-device AR applications","[""golang"",""websockets"",""augmented-reality"",""networking"",""framework"",""gorilla-websocket"",""gorilla"",""mixed-reality""]","Go","[""Go"",""HTML"",""Shell""]",278,"[""go"",""golang-library"",""gin"",""golang-package"",""websocket"",""chat"",""webrtc"",""p2p"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""network"",""tcp"",""server"",""router"",""java"",""library"",""dependency-injection"",""design-patterns"",""angular"",""typescript"",""angularjs"",""angular2"",""ionic"",""kafka"",""spark"",""java"",""scala"",""big-data""]"
"[""reality"",""social"",""information"",""augmented-reality"",""ios"",""swift"",""social-network"",""information"",""opencv"",""maps""]","2016-10-13T11:01:39Z","casparwylie/AstRal",160,"Augmented reality social network, an underworld of discussion and information to every street.","[""augmented-reality"",""ios"",""swift"",""social-network"",""information"",""opencv"",""maps""]","Swift","[""Swift"",""Objective-C"",""Objective-C++"",""Ruby""]",120267,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""swift"",""objective-c"",""cocoapods"",""xcode"",""language"",""objective-c"",""ios"",""cocoapods"",""xcode"",""api"",""sdk"",""facebook"",""wrapper"",""google"",""network"",""networking"",""tcp"",""server"",""router"",""c"",""cpp"",""java"",""python"",""computer-vision"",""object-detection"",""deep-learning"",""tensorflow"",""gis"",""map"",""geospatial"",""openstreetmap""]"
"[""n"",""u"",""l"",""l""]","2016-05-08T13:31:10Z","cassell/frozen-web-augmented-reality-demo",4,"Tech Demo: 2D Puppet Show Demo Of Augmented Reality Using Javascript","null","JavaScript","[""CSS"",""HTML"",""JavaScript""]",3757,"null"
"[""slam"",""research"",""slam"",""augmented-reality"",""computer-vision"",""vslam""]","2017-01-16T05:46:16Z","castiel520/vslam_research",22,"this repo is for visual slam research","[""slam"",""augmented-reality"",""computer-vision"",""vslam""]","C++","[""CMake"",""C++"",""C"",""Makefile"",""Shell"",""Cuda"",""Objective-C"",""Objective-C++""]",37034,"[""calendar"",""library"",""keyboard"",""time"",""javascript"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""deep-learning"",""gan"",""machine-learning"",""opencv"",""vision"",""tensorflow"",""keras"",""convolutional-neural-networks""]"
"[""augmented"",""reality"",""n"",""u"",""l"",""l""]","2017-08-06T16:27:56Z","ccabanero/ios-arkit-snippets",3,"Playing with augmented reality concepts using ARKit for iOS","null","Swift","[""Swift""]",198373,"null"
"[""soccer-practice-application"",""help"",""tensorflow-lite"",""opencv"",""sql-db"",""aws-rds"",""java"",""cpp"",""android"",""python"",""imgproc"",""ubuntu-server"",""tracking"",""aws-ec2"",""augmented-reality"",""soccer-practice-application"",""kotlin"",""mean-shift"",""arcore-android""]","2020-01-17T21:27:40Z","cch230/Augmented-Reality-Soccer-Practice-Application",7,"사용자가 코치의 도움없이 여러 훈련을 개인적으로 할 수 있도록 도와주는 축구 어플리케이션입니다.  It is a soccer-practice-application that helps the user to do various training personally without the help of a coach.","[""tensorflow-lite"",""opencv"",""sql-db"",""aws-rds"",""java"",""cpp"",""android"",""python"",""imgproc"",""ubuntu-server"",""tracking"",""aws-ec2"",""augmented-reality"",""soccer-practice-application"",""kotlin"",""mean-shift"",""arcore-android""]","C++","[""Java"",""Kotlin"",""HTML"",""Makefile"",""CMake"",""C++"",""C"",""Objective-C"",""PHP"",""Python""]",2731765,"[""opencv"",""computer-vision"",""object-detection"",""deep-learning"",""tensorflow"",""c"",""cpp"",""java"",""python"",""computer-vision"",""object-detection"",""deep-learning"",""tensorflow"",""discord"",""bot"",""discord-bot"",""slack"",""chatbot"",""android"",""gradle"",""kotlin"",""javafx"",""c-plus-plus"",""qt"",""c"",""cmake"",""react-native"",""ios"",""react"",""mobile"",""language"",""ruby"",""django"",""python3"",""django-rest-framework"",""flask"",""linux"",""ansible"",""ubuntu"",""debian"",""vagrant"",""opencv"",""computer-vision"",""object-detection"",""deep-learning"",""tensorflow"",""aws"",""serverless"",""aws-lambda"",""lambda"",""terraform"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""android"",""mvvm"",""rxjava"",""kotlin-android"",""discord"",""bot"",""discord-bot"",""slack"",""chatbot""]"
"[""game"",""unity"",""augmented-reality"",""vuforia"",""android"",""game""]","2019-04-09T01:44:07Z","ceadoor/AR-TreasureHunt-2.0",5,"📱 An Augmented Reality Treasure Hunt game Build using Unity and Vuforia","[""unity"",""augmented-reality"",""vuforia"",""android"",""game""]","C#","[""C#"",""ShaderLab"",""JavaScript""]",58515,"[""game"",""unity3d"",""game-development"",""gamedev"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""hacktoberfest"",""hacktoberfest2020"",""gpu"",""cuda"",""ember"",""react-native"",""ios"",""react"",""mobile"",""unity"",""unity3d"",""game-development"",""gamedev""]"
"[""augmented-reality"",""android"",""sceneform"",""arcore-android"",""augmented-images""]","2018-05-27T10:21:16Z","cgathergood/Sceneform-Augmented-Images",32,"Demo of Augmented Images in ArCore using Sceneform","[""augmented-reality"",""android"",""sceneform"",""arcore-android"",""augmented-images""]","Java","[""Java""]",6246,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""react-native"",""ios"",""react"",""mobile"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""discord"",""bot"",""discord-bot"",""slack"",""chatbot""]"
"[""tracking"",""n"",""u"",""l"",""l""]","2018-09-12T14:04:13Z","cgnerds/AREngine",4,"Build a variety of Augmented Reality applications, including marker-based, markerless-based and SLAM-based tracking modes.","null","C#","[""C#"",""Objective-C""]",30674,"null"
"[""2018"",""n"",""u"",""l"",""l""]","2018-06-26T02:45:42Z","cgnerds/ARSandboxUnity",14,"Augmented Reality Sandbox with Unity 2018 and Intel RealSense D415.","null","C#","[""C#"",""ShaderLab""]",1908,"null"
"[""augmented"",""reality"",""n"",""u"",""l"",""l""]","2017-06-18T14:14:09Z","cgnerds/SlamAR",7,"An open source, SLAM based augmented reality software.","null","C++","[""C++"",""CMake""]",127,"null"
"[""shooter"",""n"",""u"",""l"",""l""]","2018-06-21T20:57:39Z","cgrail/webxr-ui5",7,"A simple Augmented Reality shooter implemented in WebXR and SAP UI5","null","JavaScript","[""JavaScript"",""HTML""]",53802,"null"
"[""n"",""u"",""l"",""l""]","2016-02-15T11:32:56Z","cgraumann/TUM-BMC-Masterthesis-Template",5,"Latex Template for Biomedical Computing Master at the Chair for Computer Aided Medical Procedures and Augmented Reality, Technische Universität München","null","TeX","[""TeX""]",153,"null"
"[""book"",""companion"",""app"",""augmented-reality"",""android-studio"",""android"",""sceneform-sdk"",""bookreader""]","2020-04-19T06:11:52Z","chamikaCN/LIVRA-Interactive-Book-Reader",6,"Innovative book reader companion Android app using AR ","[""augmented-reality"",""android-studio"",""android"",""sceneform-sdk"",""bookreader""]","Java","[""Java""]",35257,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""lua"",""java"",""plugin"",""intellij"",""ide"",""react-native"",""ios"",""react"",""mobile"",""linux"",""macos"",""windows"",""osx"",""mac""]"
"[""blocks"",""n"",""u"",""l"",""l""]","2017-11-13T07:04:41Z","champierre/s2ar",5,"S2AR(Scratch2ARKit) connects Scratch (more specifically ScratchX) and iOS ARKit, then enables anyone to program building blocks in Augmented Reality world.","null","Swift","[""JavaScript"",""Ruby"",""Swift""]",589169,"null"
"[""augmented"",""reality"",""game"",""magic-leap"",""eye-tracking"",""gaze-tracking"",""unity"",""augmented-reality"",""augmented-game"",""game"",""virtual-reality"",""magicleap"",""magicleapone"",""csharp"",""pubsub"",""publish"",""subscribe"",""pubnub"",""tutorial""]","2018-09-13T18:24:49Z","chandler767/Cube-Fight",6,"Multiplayer augmented reality game using Magic Leap powered by PubNub.","[""magic-leap"",""eye-tracking"",""gaze-tracking"",""unity"",""augmented-reality"",""augmented-game"",""game"",""virtual-reality"",""magicleap"",""magicleapone"",""csharp"",""pubsub"",""publish"",""subscribe"",""pubnub"",""tutorial""]","C#","[""C#"",""ShaderLab"",""HLSL""]",104986,"[""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""game"",""unity3d"",""game-development"",""gamedev"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""unity"",""unity3d"",""game-development"",""gamedev"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""dotnet"",""language"",""dotnet-core"",""c-sharp"",""asp-net-core"",""websocket"",""chat"",""webrtc"",""websockets"",""p2p"",""elixir"",""hacktoberfest"",""python"",""erlang"",""elm"",""kafka"",""spark"",""java"",""scala"",""big-data"",""gis"",""map"",""maps"",""geospatial"",""openstreetmap"",""learning"",""education"",""example"",""godot""]"
"[""augmented"",""magic-leap"",""arduino"",""gesture-recognition"",""unity"",""augmented-reality"",""virtual-reality"",""magicleapone"",""magicleap"",""rgb-led"",""csharp"",""arduino-sketch"",""pubnub"",""publish-subscribe"",""iot"",""iot-application"",""iot-device"",""tutorial""]","2018-09-07T15:49:57Z","chandler767/Magic-Leap-Gesture-IoT-Example",16,"Control lights in the physical world from the augmented world using hand gestures. Using Magic Leap Hand Poses (Gestures) and PubNub.","[""magic-leap"",""arduino"",""gesture-recognition"",""unity"",""augmented-reality"",""virtual-reality"",""magicleapone"",""magicleap"",""rgb-led"",""csharp"",""arduino-sketch"",""pubnub"",""publish-subscribe"",""iot"",""iot-application"",""iot-device"",""tutorial""]","C#","[""C#"",""C++"",""ShaderLab"",""HLSL""]",225670,"[""raspberry-pi"",""esp32"",""esp8266"",""bluetooth"",""python"",""time-series"",""hacktoberfest"",""management"",""slides"",""game"",""unity3d"",""game-development"",""gamedev"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""arduino"",""raspberry-pi"",""esp32"",""esp8266"",""bluetooth"",""dotnet"",""language"",""dotnet-core"",""c-sharp"",""asp-net-core"",""java"",""minecraft"",""mod"",""tree"",""stack"",""gis"",""map"",""maps"",""geospatial"",""openstreetmap"",""r"",""rstats"",""statistics"",""r-package"",""shiny"",""mqtt"",""home-assistant"",""home-automation"",""raspberry-pi"",""python"",""telegram"",""bot"",""telegram-bot"",""rss"",""arduino"",""raspberry-pi"",""esp32"",""esp8266"",""bluetooth"",""learning"",""education"",""example"",""godot""]"
"[""prototype"",""webxr"",""threejs"",""webar"",""augmented-reality"",""mixed-reality"",""javascript""]","2020-10-11T13:48:41Z","charliegerard/webxr-pacman",33,"Pac-Man prototype in WebXR using Three.js","[""webxr"",""threejs"",""webar"",""augmented-reality"",""mixed-reality"",""javascript""]","JavaScript","[""JavaScript"",""HTML"",""CSS""]",15557,"[""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""opengl"",""graphics"",""webgl"",""3d"",""vulkan"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""kafka"",""spark"",""java"",""scala"",""big-data"",""nodejs"",""typescript"",""emacs"",""deno""]"
"[""project"",""game"",""unity"",""csharp"",""windows"",""mixed-reality"",""dialogflow"",""chemistry""]","2019-12-10T14:39:25Z","chemistry-lab/chemistry-lab-vr",4,"Chemistry Lab VR project using the Unity game engine and the Windows Mixed Reality Toolkit","[""unity"",""csharp"",""windows"",""mixed-reality"",""dialogflow"",""chemistry""]","C#","[""C#"",""ShaderLab"",""GLSL"",""HLSL""]",93370,"[""game"",""unity3d"",""game-development"",""gamedev"",""dotnet"",""language"",""dotnet-core"",""c-sharp"",""asp-net-core"",""linux"",""macos"",""osx"",""mac"",""kafka"",""spark"",""java"",""scala"",""big-data"",""iot"",""mqtt"",""home-assistant"",""home-automation"",""raspberry-pi"",""julia"",""optimization"",""math"",""simulation"",""physics""]"
"[""n"",""u"",""l"",""l""]","2020-05-18T18:48:09Z","chen-zhu/Chessro",3,"UCSB CS291A - Mixed and Augmented Reality Final Project","null","Swift","[""Swift""]",51849,"null"
"[""augmented"",""reality"",""n"",""u"",""l"",""l""]","2017-08-29T18:36:46Z","chenzlabs/aframe-ar",230,"Basic A-Frame support for browser-based augmented reality (AR), supporting the new WebXR AR support in Chrome v81+ as well as WebXR Viewer.","null","JavaScript","[""JavaScript""]",395,"null"
"[""piano"",""image"",""augmented-reality"",""unity3d"",""vuforia""]","2019-11-18T21:17:58Z","chetan2002/AR-Piano-app",3,"The Augmented Reality based piano which would work on a specified image target.","[""augmented-reality"",""unity3d"",""vuforia""]","C#","[""C#"",""ShaderLab"",""HLSL""]",12726,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""game"",""unity"",""game-development"",""gamedev"",""hacktoberfest"",""hacktoberfest2020"",""gpu"",""cuda"",""ember""]"
"[""project"",""3d"",""phone"",""n"",""u"",""l"",""l""]","2019-12-09T17:24:23Z","chethansai/Shopping-mARt",4,"The project is based on Augmented Reality.It aims at providing rich user experience to an offline store with capabilities of online e-commerce store.It includes displaying 3d models of price, recommendations, reviews on projecting the phone on a particular product.","null","C#","[""C#"",""ShaderLab"",""HLSL"",""Objective-C"",""CSS""]",78552,"null"
"[""module"",""augmented-reality"",""qml"",""qt"",""qt5"",""opencv"",""android"",""uchiya"",""seamless"",""mixed-reality"",""pose-estimation"",""dots"",""random-dots"",""qtquick"",""yuv"",""nv21""]","2018-01-19T13:48:28Z","chili-epfl/qml-ar",31,"Seamless Augmented Reality module for QML using UchiyaMarkers","[""augmented-reality"",""qml"",""qt"",""qt5"",""opencv"",""android"",""uchiya"",""seamless"",""mixed-reality"",""pose-estimation"",""dots"",""random-dots"",""qtquick"",""yuv"",""nv21""]","C++","[""QML"",""QMake"",""C++"",""Python"",""Shell"",""C""]",14132,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""cpp"",""c-plus-plus"",""qt"",""c"",""cmake"",""cpp"",""c-plus-plus"",""c"",""cmake"",""cpp"",""c-plus-plus"",""qt"",""c"",""cmake"",""c"",""cpp"",""java"",""python"",""computer-vision"",""object-detection"",""deep-learning"",""tensorflow"",""react-native"",""ios"",""react"",""mobile"",""kafka"",""spark"",""java"",""scala"",""big-data"",""laravel"",""php"",""laravel-package"",""package"",""laravel-5-package"",""game"",""unity"",""unity3d"",""game-development"",""gamedev"",""cpp"",""c-plus-plus"",""qt"",""c"",""cmake"",""video"",""ffmpeg"",""audio"",""streaming"",""camera""]"
"[""n"",""u"",""l"",""l""]","2017-12-21T07:51:10Z","chomado/WindowsMR_GettingStarted",9,"Windows Mixed Reality の始め方","null","null","null",7382,"null"
"[""n"",""u"",""l"",""l""]","2016-06-30T18:12:27Z","chriskwan/bannAR",4,"Augmented Reality for banners and other printed products","null","JavaScript","[""HTML"",""JavaScript"",""CSS""]",6156,"null"
"[""n"",""u"",""l"",""l""]","2020-02-18T07:25:24Z","christt105/AugmentedReality",3,"null","null","HTML","[""Python"",""JavaScript"",""HTML""]",11590,"null"
"[""cursoemvideo"",""gustavoguanabara"",""google-glass"",""site-google-glass"",""projeto-google-glass"",""html5"",""css3"",""javascript"",""gh-pages"",""github-pages"",""gustavo-guanabara"",""curso-em-video"",""curso-de-html5"",""cev""]","2020-03-20T23:19:47Z","christyanbrayan/site-google-glass",11,"Projeto do curso de HTML5, CSS3 e JS do Curso em Vídeo (2013)","[""cursoemvideo"",""gustavoguanabara"",""google-glass"",""site-google-glass"",""projeto-google-glass"",""html5"",""css3"",""javascript"",""gh-pages"",""github-pages"",""gustavo-guanabara"",""curso-em-video"",""curso-de-html5"",""cev""]","HTML","[""HTML"",""CSS"",""JavaScript""]",58608,"[""python"",""telegram"",""bot"",""telegram-bot"",""rss"",""css"",""html"",""javascript"",""html5"",""sass"",""nodejs"",""typescript"",""emacs"",""deno"",""blog"",""jekyll"",""gatsby"",""theme"",""static-site-generator"",""blog"",""jekyll"",""gatsby"",""theme"",""static-site-generator""]"
"[""app"",""augmented"",""reality"",""swift"",""augmented-reality""]","2017-09-03T03:28:55Z","chriswang101/AR-Navigation",28,"An iOS app that gives directions using augmented reality","[""swift"",""augmented-reality""]","Swift","[""Swift"",""Ruby""]",22688,"[""language"",""objective-c"",""ios"",""cocoapods"",""xcode"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode""]"
"[""arkit"",""arkit-roaddirection"",""arkit-applemap"",""arkit-map"",""corelocation"",""mapkit"",""augmented-reality"",""augmented-reality-applications"",""augmentedreality"",""arki""]","2017-09-16T03:53:50Z","chriswebb09/ARKitNavigationDemo",268,"ARKit Demo Application","[""arkit"",""arkit-roaddirection"",""arkit-applemap"",""arkit-map"",""corelocation"",""mapkit"",""augmented-reality"",""augmented-reality-applications"",""augmentedreality"",""arki""]","Swift","[""Swift""]",14025,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""api"",""sdk"",""facebook"",""wrapper"",""google"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""python"",""telegram"",""bot"",""telegram-bot"",""rss"",""api"",""http"",""rest-api"",""rest"",""swagger""]"
"[""augmented"",""reality"",""augmented-reality"",""vuforia"",""unity"",""angelhack"",""hackathon""]","2017-06-04T04:38:20Z","chuanenlin/learn",3,"Interactive, programmable, augmented reality cube.","[""augmented-reality"",""vuforia"",""unity"",""angelhack"",""hackathon""]","C#","[""Java"",""JavaScript"",""Objective-C++"",""Objective-C"",""C"",""C#"",""ShaderLab""]",622119,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""hacktoberfest"",""hacktoberfest2020"",""gpu"",""cuda"",""ember"",""game"",""unity3d"",""game-development"",""gamedev"",""game-jam"",""game-off"",""hacktoberfest"",""vscode"",""vscode-extension"",""javascript"",""typescript""]"
"[""game"",""augmented"",""game"",""swift"",""augmented-reality""]","2018-06-22T22:21:37Z","cjthom03/Peekaboo-Penguin",10,"Mobile hide-n-seek style game played in augmented reality.","[""game"",""swift"",""augmented-reality""]","CSS","[""Swift"",""CSS"",""JavaScript"",""HTML""]",30644,"[""unity"",""unity3d"",""game-development"",""gamedev"",""language"",""objective-c"",""ios"",""cocoapods"",""xcode"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode""]"
"[""reality"",""depth"",""camera"",""n"",""u"",""l"",""l""]","2020-04-04T19:09:01Z","ckorris/easi_aug",3,"Augmented reality interface for airsoft. Using Jetson Nano, ZED depth camera and screen, calculates where the rifle's projectile will hit, taking into account gravity, spin/hop-up, velocity, etc.","null","C++","[""CMake"",""C++"",""C""]",1760,"null"
"[""sample"",""code"",""blog"",""ios"",""scenekit"",""augmented-reality"",""mapbox-ios-sdk"",""swift""]","2017-03-14T13:17:26Z","classycodeoss/ios-ar-demo",10,"iOS Augmented Reality sample code for blog post","[""ios"",""scenekit"",""augmented-reality"",""mapbox-ios-sdk"",""swift""]","Objective-C","[""Swift"",""Ruby"",""Objective-C"",""Shell""]",26136,"[""swift"",""objective-c"",""cocoapods"",""xcode"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""language"",""objective-c"",""ios"",""cocoapods"",""xcode""]"
"[""framework"",""development"",""applications"",""focus"",""applications"",""mixed-reality"",""virtual-reality"",""haptics""]","2016-09-12T10:05:00Z","cocomr/coco",6,"Compact Components is a framework for the development of resource intensive applications with a focus on Mixed Reality applications and Robotics. This repository provides the core technology over which CoCo Mixed Reality is based","[""mixed-reality"",""virtual-reality"",""haptics""]","C++","[""CMake"",""CSS"",""JavaScript"",""HTML"",""C++"",""C"",""Python"",""Shell"",""Batchfile""]",7635,"[""kafka"",""spark"",""java"",""scala"",""big-data"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""hacktoberfest"",""clojure"",""cms"",""library"",""api""]"
"[""n"",""u"",""l"",""l""]","2017-07-13T07:45:39Z","codefluegel/vuforia4unreal",58,"Augmented Reality with Vuforia and Unreal Engine 4.16","null","C++","[""C#"",""C++"",""C""]",502,"null"
"[""mixed-reality"",""solar"",""maps"",""augmented-reality"",""mixed-reality"",""nasa"",""planet"",""space"",""threejs"",""virtual-reality"",""webvr""]","2017-03-14T20:06:15Z","codemacabre/planetaryxr",9,"A mixed-reality solar system, featuring 3D maps and models of planetary bodies","[""augmented-reality"",""mixed-reality"",""nasa"",""planet"",""space"",""threejs"",""virtual-reality"",""webvr""]","JavaScript","[""HTML"",""CSS"",""JavaScript""]",176319,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""kafka"",""spark"",""java"",""scala"",""big-data"",""opengl"",""graphics"",""webgl"",""3d"",""vulkan"",""java"",""minecraft"",""mod"",""tree"",""stack"",""python"",""telegram"",""bot"",""telegram-bot"",""rss"",""opengl"",""graphics"",""webgl"",""3d"",""vulkan"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest""]"
"[""reality"",""app"",""n"",""u"",""l"",""l""]","2020-01-17T16:58:43Z","coderrick/mitrealityhack27",3,"Mixed reality app that teaches people to communicate with one another through sign/body language.","null","C#","[""C"",""Objective-C"",""C#"",""CSS"",""HLSL"",""ShaderLab"",""C++"",""ASP""]",144658,"null"
"[""virtual"",""arkit"",""codex"",""layout-testing""]","2017-09-01T11:51:11Z","codex-team/AR-Tester",6,"Test your site's layout on the virtual devices at Augmented Reality","[""arkit"",""codex"",""layout-testing""]","Swift","[""Swift"",""Ruby"",""Shell""]",37225,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""awesome"",""awesome-list"",""list"",""hacktoberfest"",""resources""]"
"[""n"",""u"",""l"",""l""]","2020-03-28T19:21:45Z","codin-eric/augmented_reality_research",6,"null","null","Jupyter Notebook","[""Jupyter Notebook"",""Python""]",40125,"null"
"[""help"",""n"",""u"",""l"",""l""]","2017-10-10T10:31:41Z","colingourlay/augmented-rockality",5,"Helping you pass the Rock test, with the help of the new Silicon Valley hotness: AUgmEnTEd rEALitY","null","JavaScript","[""JavaScript"",""HTML""]",6,"null"
"[""virtual"",""augmented"",""n"",""u"",""l"",""l""]","2019-08-09T14:52:02Z","conix-center/ARENA-core",8,"An environment to view and interact in multiuser virtual and augmented reality.","null","JavaScript","[""JavaScript"",""HTML"",""Makefile"",""C"",""Dockerfile"",""CSS""]",1014618,"null"
